Date,Last Name,First Name,School,Sport,Class Year,Class Rank,Type,Partner,URL
02/23/2023,Moriarty,Kendall,Nebraska Cornhuskers,,2021,Junior,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628571052832964609
02/22/2023,Markowski,Alexis,Nebraska Cornhuskers,,2021,Junior,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628533434309042176
02/22/2023,Lenhardt,Cameron,Nebraska Cornhuskers,Football,2023,Freshman,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628432095667228674
02/21/2023,Jeudy,Elijah,Nebraska Cornhuskers,Football,2021,RedShirt Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628104644948787215
02/21/2023,Buschini,Brian,Nebraska Cornhuskers,,2019,RedShirt Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1627829675710984201/photo/1
02/21/2023,Gilbert,Arik,Nebraska Cornhuskers,Football,2020,RedShirt Junior,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1627829675710984201/photo/1
02/21/2023,Hutmacher,Nash,Nebraska Cornhuskers,Football,2020,Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628038437499445251
02/20/2023,Wilson,Roman,Michigan Wolverines,Football,2020,Junior,Company,CeraVe Skincare,
02/20/2023,Furst,Caleb,Purdue Boilermakers,Basketball,2021,Sophomore,Company,IN211.org,https://twitter.com/calebfurst/status/1627783496147120129
02/19/2023,Sherman,MJ,Nebraska Cornhuskers,Football,2020,Senior,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1627437938974904320
02/17/2023,Buford,Marques,Nebraska Cornhuskers,Football,2020,Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1626632472375984149
02/16/2023,Hood,Jacob,Nebraska Cornhuskers,Football,2022,Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1626305987807178752
02/16/2023,Hill,Tommi,Nebraska Cornhuskers,Football,2021,Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1626218616873193472?s=20
02/15/2023,Gunnerson,Blaise,Nebraska Cornhuskers,Football,2020,RedShirt Freshman,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1625980962168311814
02/15/2023,Collier,Corey,Nebraska Cornhuskers,Football,2021,RedShirt Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1625888947686502402
02/14/2023,Gifford,Isaac,Nebraska Cornhuskers,Football,2020,Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1625579781432434710
02/14/2023,Bootle II,Dwight,Nebraska Cornhuskers,Football,2023,Freshman,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1625619430259433512
02/14/2023,Reed,Tarris,Michigan Wolverines,Basketball,2022,Freshman,Collective,Stadium & Main,https://www.on3.com/nil/news/michigan-wolverines-basketball-jett-jace-howard-tarris-reed-youth-camp-ann-arbor-stadium-main/
02/14/2023,Howard,Jace,Michigan Wolverines,Basketball,2020,Junior,Collective,Stadium & Main,https://www.on3.com/nil/news/michigan-wolverines-basketball-jett-jace-howard-tarris-reed-youth-camp-ann-arbor-stadium-main/
02/14/2023,Howard,Jett,Michigan Wolverines,Basketball,2022,Freshman,Collective,Stadium & Main,
02/14/2023,Black,Yahya,Iowa Hawkeyes,Football,2020,RedShirt Junior,Collective,The Swarm Collective,https://twitter.com/Yblack74/status/1625560130698809351
02/13/2023,Cutler,Victor,Ohio State Buckeyes,Football,2019,RedShirt Sophomore,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Carter,Ja'Had,Ohio State Buckeyes,Football,2019,Senior,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,McCord,Kyle,Ohio State Buckeyes,Football,2021,Junior,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Walker,Miles,Ohio State Buckeyes,Football,2023,Freshman,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Siereveld,Austin,Ohio State Buckeyes,Football,2023,Freshman,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Padilla,Joshua,Ohio State Buckeyes,Football,2023,Freshman,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Hartford,Malik,Ohio State Buckeyes,Football,2023,Freshman,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Thurman,Jelani,Ohio State Buckeyes,Football,2023,Freshman,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/13/2023,Montgomery,Luke,Ohio State Buckeyes,Football,2023,Freshman,Company,Ronald McDonald House Charities of Central Ohio,https://www.instagram.com/p/CoiKgPcO3db/
02/10/2023,Henderson,TreVeyon,Ohio State Buckeyes,Football,2021,Junior,Company,The City Apartments,https://www.instagram.com/p/CofVoufuyod/
02/06/2023,Nwankpa,Xavier,Iowa Hawkeyes,Football,2022,Sophomore,Company,Summit Agricultural Group,https://twitter.com/xaviernwankpa01/status/1622676569771634688
02/06/2023,Ragaini,Nico,Iowa Hawkeyes,Football,2018,RedShirt Senior,Collective,The Swarm Collective,https://twitter.com/Nicoragaini21/status/1622380259826876416
02/06/2023,Craig,Deontae,Iowa Hawkeyes,Football,2020,RedShirt Junior,Collective,The Swarm Collective,https://twitter.com/CraigDeontae/status/1622035577397809152
02/06/2023,Higgins,Jay,Iowa Hawkeyes,Football,2020,Senior,Collective,The Swarm Collective,https://twitter.com/_jhigg/status/1622037208478765057
02/03/2023,Colby,Connor,Iowa Hawkeyes,Football,2021,Junior,Collective,The Swarm Collective,https://twitter.com/ConnorColby77/status/1621565076254736390
02/03/2023,Sensabaugh,Brice,Ohio State Buckeyes,Basketball,2022,Freshman,Company,TownHall,https://twitter.com/Raymond_Rep/status/1621531007940808704?s=20&t=qggZrOrPSp2uO1Me0HmgVg
02/01/2023,Sueing,Justice,Ohio State Buckeyes,Basketball,2017,RedShirt Senior,Company,Express,
02/01/2023,Mayer,Jordan,Wisconsin Badgers,Football,2023,Senior,Collective,The Varsity Collective,
02/01/2023,LaCrue,Cole,Wisconsin Badgers,Football,2023,Senior,Collective,The Varsity Collective,
02/01/2023,Jansey,Tyler,Wisconsin Badgers,Football,2023,Junior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Duclona,Jonas,Wisconsin Badgers,Football,2023,Senior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Moore,Braedyn,Wisconsin Badgers,Football,2023,Senior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Renfro,Jake,Wisconsin Badgers,Football,2020,Junior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Maitre,Jason,Wisconsin Badgers,Football,2018,RedShirt Senior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Varner,Darian,Wisconsin Badgers,Football,2020,Sophomore,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Pietrowski,Jeff,Wisconsin Badgers,Football,2020,Junior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Pauling,Will,Wisconsin Badgers,Football,2021,RedShirt Freshman,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Burroughs,Quincy,Wisconsin Badgers,Football,2022,Freshman,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Locke,Braedyn,Wisconsin Badgers,Football,2022,Freshman,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Green,Bryson,Wisconsin Badgers,Football,2021,Sophomore,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Mordecai,Tanner,Wisconsin Badgers,Football,2018,Senior,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Evers,Nick,Wisconsin Badgers,Football,2022,Freshman,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
02/01/2023,Williams,C.J.,Wisconsin Badgers,Football,2022,Freshman,Collective,The Varsity Collective,https://twitter.com/VarsityCltv/status/1620848768278216705?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1620848768278216705%7Ctwgr%5E9d3a256c4c63c1f62070b9134a74a3ee2d74c39e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fnil%2Fnews%2Fwisconsin-
01/31/2023,Powell,Tyreem,Rutgers Scarlet Knights,Football,2020,Sophomore,Collective,Knights of The Raritan,https://twitter.com/TyreemPowell/status/1620438247494283264
01/30/2023,Griffin,Caleb,Illinois Fighting Illini,Football,2018,RedShirt Junior,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,Boyer,Henry,Illinois Fighting Illini,Football,2022,Freshman,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,Bryant,Patrick,Illinois Fighting Illini,Football,2021,Sophomore,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,Washington,Casey,Illinois Fighting Illini,Football,2019,Junior,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,McCray,Josh,Illinois Fighting Illini,Football,2021,Sophomore,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,Love,Reggie,Illinois Fighting Illini,Football,2020,Sophomore,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,Altmyer,Luke,Illinois Fighting Illini,Football,2021,RedShirt Freshman,Collective,Illini Guardians,https://www.instagram.com/p/Cn-myuzL_Q7/?hl=en
01/30/2023,Loveland,Colston,Michigan Wolverines,Football,2022,Freshman,Company,Randy Wise Automotive Team,https://twitter.com/CSayf23/status/1619092434163744775?s=20
01/30/2023,Jackson,Andi,Nebraska Cornhuskers,,2023,Freshman,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1619848645200982016
01/26/2023,Graves,Aaron,Iowa Hawkeyes,Football,2022,Sophomore,Collective,The Swarm Collective,https://twitter.com/aarongraves95/status/1618643799764520962
01/26/2023,Ostrenga,Addison,Iowa Hawkeyes,Football,2022,Sophomore,Collective,The Swarm Collective,https://twitter.com/AddisonOstrenga/status/1618640814959390720
01/26/2023,Dawkins,Nick,Penn State Nittany Lions,Football,2020,RedShirt Sophomore,Company,WWE,https://twitter.com/WWERecruit/status/1618627056799027201?s=20
01/26/2023,Iton,Isaiah,Rutgers Scarlet Knights,Football,2019,Junior,Company,WWE,https://twitter.com/WWERecruit/status/1618627056799027201?s=20
01/26/2023,Graham,Mason,Michigan Wolverines,Football,2022,Freshman,Company,Randy Wise Automotive Team,https://twitter.com/RandyWiseAT/status/1618776506230276096?s=20&t=V3Cxd1TqWVKSVx2B99Acdw
01/25/2023,Scalia,Sara,Indiana Hoosiers,,2019,,Company,Habitat for Humanity of Monroe County,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Moore-McNeil,Chloe,Indiana Hoosiers,,2020,Freshman,Company,Habitat for Humanity of Monroe County,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Bebej,Brett,Indiana Hoosiers,,2019,Freshman,Company,Stone Belt,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Goumballe,Maouloune,Indiana Hoosiers,,2019,Freshman,Company,Stone Belt,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Benson,Kahlil,Indiana Hoosiers,Football,2020,RedShirt Sophomore,Company,Young & Established,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Pierre,Noah,Indiana Hoosiers,Football,2018,RedShirt Senior,Company,Young & Established,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Camper,Cameron,Indiana Hoosiers,Football,2019,Junior,Company,Stop the Violence Indianapolis,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Sales,Joshua,Indiana Hoosiers,Football,2021,RedShirt Freshman,Company,Stop the Violence Indianapolis,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Carpenter,Zach,Indiana Hoosiers,Football,2019,RedShirt Junior,Company,RecycleForce,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Casey,Aaron,Indiana Hoosiers,Football,2018,RedShirt Junior,Company,RecycleForce,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Russin,Maddie,Indiana Hoosiers,,2020,Freshman,Company,Girls on the Run Central Indiana,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Hillers,Elle,Michigan Wolverines,,2020,Freshman,Collective,Hoosiers For Good,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Lucas,Jaylin,Indiana Hoosiers,Football,2022,Freshman,Company,Boys & Girls Clubs of Bloomington,https://twitter.com/Hoosiers4Good/status/1618285666949029891?s=20&t=ki_jwM8eKUQHJK1w0YQo9Q
01/25/2023,Borders,Chief,Nebraska Cornhuskers,Football,2021,RedShirt Sophomore,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1618246091480403971
01/24/2023,Hyatt,Aundre,Rutgers Scarlet Knights,Basketball,2018,Junior,Collective,Knights of The Raritan,https://twitter.com/aundrehyatt_15/status/1617973771541053441
